Date,Open,High,Low,Close,Adj Close,Volume
6/6/2014,186.470001,187.649994,185.899994,186.369995,144.808289,3296700
6/9/2014,186.220001,187.639999,185.960007,186.220001,144.691727,2728400
6/10/2014,186.199997,186.220001,183.820007,184.289993,143.192169,4154900
6/11/2014,183.610001,184.199997,182.009995,182.25,141.60704,4061700
6/12/2014,182.479996,182.550003,180.910004,181.220001,140.806778,4425300
6/13/2014,182,183,181.520004,182.559998,141.847931,2773600
6/16/2014,182.399994,182.710007,181.240005,182.350006,141.684784,3556200
6/17/2014,181.899994,182.809998,181.559998,182.259995,141.614822,2460900
6/18/2014,182.039993,183.610001,181.789993,183.600006,142.656036,3931800
6/19/2014,184.119995,184.470001,182.360001,182.820007,142.049973,3551100
6/20/2014,182.589996,182.669998,181.399994,181.550003,141.063171,10686800
6/23/2014,181.919998,182.25,181,182.139999,141.521622,3231700
6/24/2014,181.5,183,180.649994,180.880005,140.542587,3875400
6/25/2014,180.25,180.970001,180.059998,180.720001,140.418243,2762800
6/26/2014,180.869995,181.369995,179.270004,180.369995,140.146286,3258500
6/27/2014,179.770004,182.460007,179.660004,181.710007,141.187469,4575500
6/30/2014,181.330002,181.929993,180.259995,181.270004,140.845612,4223800
7/1/2014,181.699997,187.270004,181.699997,186.350006,144.79274,6643100
7/2/2014,186.339996,188.990005,186.169998,188.389999,146.377823,5093000
7/3/2014,188.389999,188.809998,187.350006,188.529999,146.486572,2422400
7/7/2014,187.610001,188.270004,187.440002,188.039993,146.10585,2958700
7/8/2014,187.649994,188.080002,186.369995,187.220001,145.468719,3135100
7/9/2014,187.679993,188.899994,186.889999,188.419998,146.401108,3309600
7/10/2014,186.440002,188.050003,186.210007,187.699997,145.84166,3177800
7/11/2014,187.729996,188.350006,186.710007,188,146.074799,2402500
7/14/2014,188.550003,190.440002,188.529999,189.860001,147.519974,4501100
7/15/2014,189.539993,190.080002,188.210007,188.490005,146.455536,4864700
7/16/2014,192.240005,193.360001,190.759995,192.360001,149.462448,7812600
7/17/2014,192.360001,195.949997,192,192.490005,149.563492,8872300
7/18/2014,191.960007,193.440002,190,192.5,149.571259,8166400
7/21/2014,191.300003,191.699997,189.25,190.850006,148.289215,4154400
7/22/2014,191.589996,194.720001,191.559998,194.089996,150.806686,4853000
7/23/2014,194.110001,194.899994,193.570007,193.630005,150.449249,3584200
7/24/2014,193.949997,195.619995,193.75,195.240005,151.700226,3612700
7/25/2014,195.300003,195.899994,193.789993,194.399994,151.047546,3376400
7/28/2014,194.300003,196.399994,193.649994,195.779999,152.119812,3242400
7/29/2014,195.300003,195.889999,194.539993,194.570007,151.179642,3264100
7/30/2014,195.199997,195.990005,192.899994,194,150.73671,3943800
7/31/2014,192.839996,194.289993,191.539993,191.669998,148.926361,4207500
8/1/2014,190.5,191.5,188.860001,189.149994,146.968353,5181100
8/4/2014,189.350006,189.949997,188.600006,189.639999,147.349045,2125900
8/5/2014,188.75,189.199997,186.440002,187.100006,145.375473,3307900
8/6/2014,185.360001,186.880005,184.440002,185.970001,145.352036,3847000
8/7/2014,186.639999,186.679993,183.580002,184.300003,144.046799,2708600
8/8/2014,184.399994,186.669998,183.580002,186.630005,145.867859,2781500
8/11/2014,187.809998,188.360001,186.279999,187.470001,146.524445,2527200
8/12/2014,187.449997,188.690002,186.809998,187.339996,146.422836,1858600
8/13/2014,188,188.479996,187.369995,187.949997,146.899567,1795000
8/14/2014,187.570007,188.169998,186.929993,187.880005,146.844894,1929500
8/15/2014,187.850006,188.880005,186.789993,187.380005,146.454117,2814800
8/18/2014,188.100006,189.809998,187.759995,189.360001,148.001633,2420300
8/19/2014,190.039993,190.25,189.360001,190.070007,148.556549,2040100
8/20/2014,189.860001,190.389999,189.25,190.100006,148.580017,2177600
8/21/2014,190.899994,192.070007,190.5,191.229996,149.463211,2496500
8/22/2014,190.770004,191.880005,190.289993,190.410004,148.822296,1940300
8/25/2014,191.389999,191.809998,190.710007,191.160004,149.408508,1723600
8/26/2014,191.020004,193.529999,191.020004,192.990005,150.838806,3175400
8/27/2014,193.029999,194.130005,191.559998,192.25,150.260391,2190200
8/28/2014,191.470001,192.300003,190.660004,192,150.065002,1503600
8/29/2014,192.279999,192.75,191.139999,192.300003,150.299484,2909400
9/2/2014,192.679993,192.970001,190.929993,191.559998,149.721085,2679700
9/3/2014,192.389999,192.949997,191.860001,191.949997,150.025955,1822800
9/4/2014,191.690002,192.690002,190.059998,190.679993,149.03331,2865000
9/5/2014,190.529999,191.75,190.089996,191.199997,149.439728,2260200
9/8/2014,190.75,191.199997,189.509995,190.139999,148.611282,2524200
9/9/2014,190.339996,190.740005,189.779999,189.990005,148.494034,2403600
9/10/2014,190.119995,192.149994,190.100006,191.539993,149.70549,2764000
9/11/2014,191.080002,192.779999,190.119995,191.720001,149.846161,2298500
9/12/2014,191.470001,191.600006,190.570007,191.279999,149.502258,2901000
9/15/2014,191.419998,192.490005,190.580002,191.809998,149.916534,2456400
9/16/2014,191.25,193.570007,190.820007,192.960007,150.815323,2561500
9/17/2014,193.220001,193.639999,192.300003,192.800003,150.690262,3210800
9/18/2014,192.789993,194.130005,192.710007,193.75,151.43277,2963300
9/19/2014,194.539993,195,193.190002,194,151.628174,8852000
9/22/2014,193.720001,194.139999,192.630005,193.110001,150.932617,3318000
9/23/2014,192.75,193.070007,191.520004,191.619995,149.768021,3301800
9/24/2014,191,192.449997,189.880005,192.309998,150.307312,3082600
9/25/2014,192.050003,192.5,188.970001,189.009995,147.728058,4151400
9/26/2014,188.929993,190.330002,188.610001,190.059998,148.548752,2493900
9/29/2014,188.509995,189.960007,188.119995,189.639999,148.22049,2336300
9/30/2014,189.639999,190.850006,189.149994,189.830002,148.369003,2932600
10/1/2014,189.910004,190.399994,186.789993,187.169998,146.289963,3723200
10/2/2014,187.660004,187.779999,186.240005,186.910004,146.086731,2283100
10/3/2014,188.110001,189.369995,187.559998,188.669998,147.462311,3071500
10/6/2014,189.690002,190.889999,188.710007,189.039993,147.751495,2099500
10/7/2014,187.770004,188.119995,185.539993,185.710007,145.148834,2991300
10/8/2014,185.970001,189.600006,185.610001,189.360001,148.001633,2984800
10/9/2014,189.119995,189.5,186.089996,186.419998,145.70372,2625400
10/10/2014,185.860001,187.740005,185.100006,185.929993,145.32074,5090200
10/13/2014,185.490005,186.649994,183.419998,183.520004,143.437164,3596700
10/14/2014,184.889999,185.720001,183.589996,183.800003,143.656006,3924700
10/15/2014,182.460007,183.789993,178.75,181.75,142.053741,6895800
10/16/2014,179.800003,181.479996,178.690002,179.839996,140.560913,5578600
10/17/2014,181.240005,182.839996,180.220001,182.050003,142.288193,4350200
10/20/2014,166.850006,170.330002,166.690002,169.100006,132.166611,23416500
